Feedback_Date,Customer_ID,Product_ID,Rating,Comments,Cleaned_Comments
15/02/2018,18,P018,2,By station month east agency.,"['by', 'station', 'month', 'east', 'agency']"
05/03/2018,19,P019,5,Sea not court dark interesting east health.,"['sea', 'not', 'court', 'dark', 'interesting', 'east', 'health']"
20/04/2018,20,P020,1,Small quickly meeting say very.,"['small', 'quickly', 'meeting', 'say', 'very']"
15/05/2018,21,P021,4,Most dark budget think analysis through.,"['most', 'dark', 'budget', 'think', 'analysis', 'through']"
22/07/2018,22,P022,1,Want capital common need consider ahead.,"['want', 'capital', 'common', 'need', 'consider', 'ahead']"
11/08/2018,23,P023,5,List admit personal research amount significant thought community.,"['list', 'admit', 'personal', 'research', 'amount', 'significant', 'thought', 'community']"
28/03/2018,24,P024,5,Machine degree first eat college true sing spend.,"['machine', 'degree', 'first', 'eat', 'college', 'true', 'sing', 'spend']"
27/07/2018,25,P025,4,Whole for case account too kitchen.,"['whole', 'for', 'case', 'account', 'too', 'kitchen']"
02/01/2018,26,P026,1,Information final plan cold similar.,"['information', 'final', 'plan', 'cold', 'similar']"
11/05/2018,27,P027,3,By share news any play become hot way.,"['by', 'share', 'news', 'any', 'play', 'become', 'hot', 'way']"
12/01/2018,28,P028,3,Action pull exactly employee clearly expert fill.,"['action', 'pull', 'exactly', 'employee', 'clearly', 'expert', 'fill']"
25/04/2018,29,P029,5,Position bag voice our movie them coach interesting.,"['position', 'bag', 'voice', 'our', 'movie', 'them', 'coach', 'interesting']"
,30,P030,4,Central line listen stock key.,"['central', 'line', 'listen', 'stock', 'key']"
04/07/2018,31,P031,5,Economic kid relate.,"['economic', 'kid', 'relate']"
26/04/2018,32,P032,5,Present even senior generation.,"['present', 'even', 'senior', 'generation']"
21/08/2018,33,P033,2,Suffer physical interview increase tree.,"['suffer', 'physical', 'interview', 'increase', 'tree']"
27/01/2018,34,P034,5,Task focus fill policy federal organization recent.,"['task', 'focus', 'fill', 'policy', 'federal', 'organization', 'recent']"
21/08/2018,35,P035,5,Oil night early instead.,"['oil', 'night', 'early', 'instead']"
18/07/2018,36,P036,4,Off around senior.,"['off', 'around', 'senior']"
20/01/2018,37,P037,4,Sound partner would.,"['sound', 'partner', 'would']"
26/01/2018,38,P038,4,Type past consider well TV.,"['type', 'past', 'consider', 'well', 'tv']"
23/02/2018,39,P039,4,Floor activity need line nor safe ability.,"['floor', 'activity', 'need', 'line', 'nor', 'safe', 'ability']"
13/01/2018,40,P040,5,Fund wife scene hold.,"['fund', 'wife', 'scene', 'hold']"
07/08/2018,41,P041,4,Front include above some exactly to.,"['front', 'include', 'above', 'some', 'exactly', 'to']"
04/06/2018,42,P042,5,Such become force.,"['such', 'become', 'force']"
13/07/2018,43,P043,3,Safe daughter decision talk who campaign.,"['safe', 'daughter', 'decision', 'talk', 'who', 'campaign']"
02/05/2018,44,P044,2,Score I them others interest expert box.,"['score', 'i', 'them', 'others', 'interest', 'expert', 'box']"
,45,P045,2,Concern recently risk participant whatever.,"['concern', 'recently', 'risk', 'participant', 'whatever']"
11/06/2018,46,P046,3,Specific attention really conference suddenly budget analysis final.,"['specific', 'attention', 'really', 'conference', 'suddenly', 'budget', 'analysis', 'final']"
07/04/2018,47,P047,1,Dream actually skill.,"['dream', 'actually', 'skill']"
10/05/2018,48,P048,4,Skin fine the can still support goal capital.,"['skin', 'fine', 'the', 'can', 'still', 'support', 'goal', 'capital']"
09/07/2018,49,P049,5,Ready grow size base often next before.,"['ready', 'grow', 'size', 'base', 'often', 'next', 'before']"
27/04/2018,50,P050,3,Activity pull heavy.,"['activity', 'pull', 'heavy']"
01/02/2018,51,P051,2,Operation dog treat this body.,"['operation', 'dog', 'treat', 'this', 'body']"
07/03/2018,52,P052,3,Live tend peace edge.,"['live', 'tend', 'peace', 'edge']"
01/05/2018,53,P053,5,Nearly black across military do mouth couple work.,"['nearly', 'black', 'across', 'military', 'do', 'mouth', 'couple', 'work']"
21/03/2018,54,P054,5,Drug product fear.,"['drug', 'product', 'fear']"
03/03/2018,55,P055,2,Whether tax light reflect president.,"['whether', 'tax', 'light', 'reflect', 'president']"
09/07/2018,56,P056,2,Business democratic laugh assume security church force leg.,"['business', 'democratic', 'laugh', 'assume', 'security', 'church', 'force', 'leg']"
08/08/2018,57,P057,4,Growth article leader before minute including.,"['growth', 'article', 'leader', 'before', 'minute', 'including']"
03/02/2018,58,P058,2,Affect song water build city yard.,"['affect', 'song', 'water', 'build', 'city', 'yard']"
10/01/2018,59,P059,3,Find south there around her agreement win.,"['find', 'south', 'there', 'around', 'her', 'agreement', 'win']"
11/06/2018,60,P060,4,Win forward child more stage American interest.,"['win', 'forward', 'child', 'more', 'stage', 'american', 'interest']"
18/01/2018,61,P061,3,Serve father remember front.,"['serve', 'father', 'remember', 'front']"
09/06/2018,62,P062,4,Cause civil action how staff.,"['cause', 'civil', 'action', 'how', 'staff']"
21/02/2018,63,P063,4,Those many travel anyone.,"['those', 'many', 'travel', 'anyone']"
15/06/2018,64,P064,5,Second teacher nor child.,"['second', 'teacher', 'nor', 'child']"
10/05/2018,65,P065,4,Relate chance daughter key music best husband.,"['relate', 'chance', 'daughter', 'key', 'music', 'best', 'husband']"
26/07/2018,66,P066,3,Road dinner describe watch forget against something.,"['road', 'dinner', 'describe', 'watch', 'forget', 'against', 'something']"
31/05/2018,67,P067,1,Political high six final particular third yet.,"['political', 'high', 'six', 'final', 'particular', 'third', 'yet']"
13/02/2018,68,P068,1,Attorney industry push hospital.,"['attorney', 'industry', 'push', 'hospital']"
17/03/2018,69,P069,3,Right south show can.,"['right', 'south', 'show', 'can']"
10/03/2018,70,P070,5,Admit mention from full.,"['admit', 'mention', 'from', 'full']"
03/07/2018,71,P071,2,They wife finally.,"['they', 'wife', 'finally']"
07/02/2018,72,P072,4,Throughout drop TV want.,"['throughout', 'drop', 'tv', 'want']"
27/03/2018,73,P073,5,Be offer special quickly.,"['be', 'offer', 'special', 'quickly']"
24/01/2018,74,P074,4,Brother work film evidence forward.,"['brother', 'work', 'film', 'evidence', 'forward']"
24/01/2018,75,P075,1,Sure us story crime who at create.,"['sure', 'us', 'story', 'crime', 'who', 'at', 'create']"
16/03/2018,76,P076,1,Information identify run take who issue.,"['information', 'identify', 'run', 'take', 'who', 'issue']"
07/06/2018,77,P077,2,Late more unit market team soldier shake.,"['late', 'more', 'unit', 'market', 'team', 'soldier', 'shake']"
19/05/2018,78,P078,4,Design would again American.,"['design', 'would', 'again', 'american']"
16/04/2018,79,P079,3,The picture past ten.,"['the', 'picture', 'past', 'ten']"
11/05/2018,80,P080,2,Director place sign dark player.,"['director', 'place', 'sign', 'dark', 'player']"
03/03/2018,81,P081,2,Own choose letter industry morning simple.,"['own', 'choose', 'letter', 'industry', 'morning', 'simple']"
21/03/2018,82,P082,2,Word yourself method.,"['word', 'yourself', 'method']"
29/03/2018,83,P083,1,Perform trip method among recognize nearly consumer.,"['perform', 'trip', 'method', 'among', 'recognize', 'nearly', 'consumer']"
25/02/2018,84,P084,1,Citizen big throughout partner.,"['citizen', 'big', 'throughout', 'partner']"
17/01/2018,85,P085,5,Security ground speech long appear.,"['security', 'ground', 'speech', 'long', 'appear']"
10/05/2018,86,P086,3,Camera add network city amount.,"['camera', 'add', 'network', 'city', 'amount']"
10/03/2018,87,P087,3,Begin meeting move public throw your specific.,"['begin', 'meeting', 'move', 'public', 'throw', 'your', 'specific']"
18/04/2018,88,P088,3,Once company culture than prepare each picture.,"['once', 'company', 'culture', 'than', 'prepare', 'each', 'picture']"
12/01/2018,89,P089,1,Property series five risk inside.,"['property', 'series', 'five', 'risk', 'inside']"
04/07/2018,90,P090,4,Likely trip bank structure difference.,"['likely', 'trip', 'bank', 'structure', 'difference']"
21/02/2018,91,P091,3,Team pretty series travel three group school.,"['team', 'pretty', 'series', 'travel', 'three', 'group', 'school']"
13/04/2018,92,P092,3,Nice ago officer old wife specific.,"['nice', 'ago', 'officer', 'old', 'wife', 'specific']"
19/04/2018,93,P093,1,Design population spend director.,"['design', 'population', 'spend', 'director']"
07/01/2018,94,P094,1,Anyone choice treatment support since official.,"['anyone', 'choice', 'treatment', 'support', 'since', 'official']"
23/02/2018,95,P095,1,Paper personal front single hit.,"['paper', 'personal', 'front', 'single', 'hit']"
26/03/2018,96,P096,1,Chair try create radio become.,"['chair', 'try', 'create', 'radio', 'become']"
05/02/2018,97,P097,4,Around fly everyone phone Mr.,"['around', 'fly', 'everyone', 'phone', 'mr']"
23/03/2018,98,P098,3,Pressure wind card small nice all member room.,"['pressure', 'wind', 'card', 'small', 'nice', 'all', 'member', 'room']"
08/06/2018,99,P099,1,Window she full hundred firm tend.,"['window', 'she', 'full', 'hundred', 'firm', 'tend']"
23/03/2018,100,P100,4,Already scene east affect.,"['already', 'scene', 'east', 'affect']"
11/02/2018,101,P101,1,History success likely what range.,"['history', 'success', 'likely', 'what', 'range']"
13/02/2018,102,P102,4,Story price letter throw.,"['story', 'price', 'letter', 'throw']"
07/02/2018,103,P103,1,Father laugh inside character.,"['father', 'laugh', 'inside', 'character']"
15/05/2018,104,P104,2,Camera describe wait low especially Congress.,"['camera', 'describe', 'wait', 'low', 'especially', 'congress']"
13/02/2018,105,P105,1,Animal or treatment a car affect agent.,"['animal', 'or', 'treatment', 'a', 'car', 'affect', 'agent']"
,106,P106,4,Room anyone official morning.,"['room', 'anyone', 'official', 'morning']"
07/07/2018,107,P107,2,Time focus capital.,"['time', 'focus', 'capital']"
13/08/2018,108,P108,1,Notice stuff born eat beyond keep.,"['notice', 'stuff', 'born', 'eat', 'beyond', 'keep']"
02/02/2018,109,P109,3,Such yard here position religious.,"['such', 'yard', 'here', 'position', 'religious']"
15/05/2018,110,P110,4,Beat parent night Congress house light either.,"['beat', 'parent', 'night', 'congress', 'house', 'light', 'either']"
29/03/2018,111,P111,3,Teach real claim environment hold together.,"['teach', 'real', 'claim', 'environment', 'hold', 'together']"
07/06/2018,112,P112,5,Grow vote kitchen else everyone expect.,"['grow', 'vote', 'kitchen', 'else', 'everyone', 'expect']"
25/05/2018,113,P113,3,North some Republican should life.,"['north', 'some', 'republican', 'should', 'life']"
30/06/2018,114,P114,3,Always involve attorney direction the culture grow.,"['always', 'involve', 'attorney', 'direction', 'the', 'culture', 'grow']"
04/08/2018,115,P115,4,Skin drive know source.,"['skin', 'drive', 'know', 'source']"
06/04/2018,116,P116,2,Reality blood politics measure agreement.,"['reality', 'blood', 'politics', 'measure', 'agreement']"
04/08/2018,117,P117,5,Until training card section increase.,"['until', 'training', 'card', 'section', 'increase']"
04/04/2018,118,P118,4,Space window coach economy often defense.,"['space', 'window', 'coach', 'economy', 'often', 'defense']"
20/08/2018,119,P119,5,Threat American attention natural cover.,"['threat', 'american', 'attention', 'natural', 'cover']"
28/06/2018,120,P120,1,Among half while cause.,"['among', 'half', 'while', 'cause']"
28/03/2018,121,P121,1,Product since hard last research school sing.,"['product', 'since', 'hard', 'last', 'research', 'school', 'sing']"
15/02/2018,122,P122,2,Wind gun record could key.,"['wind', 'gun', 'record', 'could', 'key']"
07/03/2018,123,P123,2,Dog window develop girl floor.,"['dog', 'window', 'develop', 'girl', 'floor']"
10/03/2018,124,P124,1,We miss around team detail region very.,"['we', 'miss', 'around', 'team', 'detail', 'region', 'very']"
12/03/2018,125,P125,5,Conference help fish federal big design.,"['conference', 'help', 'fish', 'federal', 'big', 'design']"
01/07/2018,126,P126,2,Work adult technology building hold perform instead.,"['work', 'adult', 'technology', 'building', 'hold', 'perform', 'instead']"
07/08/2018,127,P127,3,Particularly site hotel product summer cover kind.,"['particularly', 'site', 'hotel', 'product', 'summer', 'cover', 'kind']"
10/04/2018,128,P128,5,Single what not edge.,"['single', 'what', 'not', 'edge']"
01/02/2018,129,P129,1,Nearly anyone wife fall strategy site Mrs.,"['nearly', 'anyone', 'wife', 'fall', 'strategy', 'site', 'mrs']"
25/01/2018,130,P130,1,She step century oil bed affect money.,"['she', 'step', 'century', 'oil', 'bed', 'affect', 'money']"
23/07/2018,131,P131,5,Sea partner admit charge while.,"['sea', 'partner', 'admit', 'charge', 'while']"
24/02/2018,132,P132,5,Any leader response admit factor me.,"['any', 'leader', 'response', 'admit', 'factor', 'me']"
25/07/2018,133,P133,4,Every picture far measure.,"['every', 'picture', 'far', 'measure']"
23/04/2018,134,P134,2,Page what production style.,"['page', 'what', 'production', 'style']"
21/07/2018,135,P135,5,Fact dog leg dark perhaps.,"['fact', 'dog', 'leg', 'dark', 'perhaps']"
24/02/2018,136,P136,5,Plant raise according hundred election must face bar.,"['plant', 'raise', 'according', 'hundred', 'election', 'must', 'face', 'bar']"
01/04/2018,137,P137,1,Spend left there protect middle identify.,"['spend', 'left', 'there', 'protect', 'middle', 'identify']"
26/05/2018,138,P138,5,Too discussion theory religious.,"['too', 'discussion', 'theory', 'religious']"
06/05/2018,139,P139,2,Fact movie eye could.,"['fact', 'movie', 'eye', 'could']"
02/07/2018,140,P140,3,Child maybe concern last lose writer several generation.,"['child', 'maybe', 'concern', 'last', 'lose', 'writer', 'several', 'generation']"
26/07/2018,141,P141,1,Give PM build social adult among challenge.,"['give', 'pm', 'build', 'social', 'adult', 'among', 'challenge']"
05/02/2018,142,P142,1,Art early section save may produce.,"['art', 'early', 'section', 'save', 'may', 'produce']"
18/04/2018,143,P143,3,Surface amount drug relationship hundred vote approach know.,"['surface', 'amount', 'drug', 'relationship', 'hundred', 'vote', 'approach', 'know']"
18/03/2018,144,P144,1,Cost fight feeling spring field.,"['cost', 'fight', 'feeling', 'spring', 'field']"
11/05/2018,145,P145,1,Develop fact party small participant.,"['develop', 'fact', 'party', 'small', 'participant']"
09/07/2018,146,P146,2,Through couple party camera until effect song.,"['through', 'couple', 'party', 'camera', 'until', 'effect', 'song']"
19/02/2018,147,P147,5,Three meet herself of.,"['three', 'meet', 'herself', 'of']"
14/04/2018,148,P148,4,Morning dark a energy early.,"['morning', 'dark', 'a', 'energy', 'early']"
22/02/2018,149,P149,2,A final prove.,"['a', 'final', 'prove']"
24/05/2018,150,P150,4,Street truth certainly here through.,"['street', 'truth', 'certainly', 'here', 'through']"
28/01/2018,151,P151,3,Left near nor early because.,"['left', 'near', 'nor', 'early', 'because']"
30/03/2018,152,P152,5,Food standard stop success particularly.,"['food', 'standard', 'stop', 'success', 'particularly']"
19/05/2018,153,P153,4,Seem energy rule response wife travel office.,"['seem', 'energy', 'rule', 'response', 'wife', 'travel', 'office']"
30/01/2018,154,P154,2,West late send.,"['west', 'late', 'send']"
20/02/2018,155,P155,2,Total admit for quality.,"['total', 'admit', 'for', 'quality']"
19/02/2018,156,P156,5,Significant upon doctor fire.,"['significant', 'upon', 'doctor', 'fire']"
12/08/2018,157,P157,3,Increase thank test kitchen.,"['increase', 'thank', 'test', 'kitchen']"
03/02/2018,158,P158,4,Find guy get day.,"['find', 'guy', 'get', 'day']"
24/03/2018,159,P159,3,Party available assume.,"['party', 'available', 'assume']"
17/07/2018,160,P160,1,Address design realize job.,"['address', 'design', 'realize', 'job']"
08/08/2018,161,P161,5,Place country will my ask identify adult.,"['place', 'country', 'will', 'my', 'ask', 'identify', 'adult']"
23/04/2018,162,P162,3,Charge already one get meet individual.,"['charge', 'already', 'one', 'get', 'meet', 'individual']"
31/05/2018,163,P163,1,Through language class color present.,"['through', 'language', 'class', 'color', 'present']"
28/07/2018,164,P164,2,Fund wish every they sort.,"['fund', 'wish', 'every', 'they', 'sort']"
14/06/2018,165,P165,1,General baby whom head later program any.,"['general', 'baby', 'whom', 'head', 'later', 'program', 'any']"
18/02/2018,166,P166,1,Loss wife experience study drive.,"['loss', 'wife', 'experience', 'study', 'drive']"
04/02/2018,167,P167,1,Report thank use out something executive form.,"['report', 'thank', 'use', 'out', 'something', 'executive', 'form']"
31/07/2018,168,P168,3,Wrong interest need their fire.,"['wrong', 'interest', 'need', 'their', 'fire']"
13/06/2018,169,P169,1,Listen think mean energy.,"['listen', 'think', 'mean', 'energy']"
06/06/2018,170,P170,4,Many live hour measure.,"['many', 'live', 'hour', 'measure']"
21/02/2018,171,P171,1,Feeling between single range beautiful article.,"['feeling', 'between', 'single', 'range', 'beautiful', 'article']"
18/08/2018,172,P172,2,Mean her around style.,"['mean', 'her', 'around', 'style']"
15/08/2018,173,P173,5,Program talk democratic front.,"['program', 'talk', 'democratic', 'front']"
06/06/2018,174,P174,2,Decade everything stay almost.,"['decade', 'everything', 'stay', 'almost']"
04/03/2018,175,P175,4,Tend myself discussion carry authority for just newspaper.,"['tend', 'myself', 'discussion', 'carry', 'authority', 'for', 'just', 'newspaper']"
22/06/2018,176,P176,1,Collection happy city war.,"['collection', 'happy', 'city', 'war']"
03/02/2018,177,P177,5,Third cover financial court response.,"['third', 'cover', 'financial', 'court', 'response']"
15/02/2018,178,P178,3,Generation fall season eye call whatever authority.,"['generation', 'fall', 'season', 'eye', 'call', 'whatever', 'authority']"
12/05/2018,179,P179,2,Have figure represent join board get word.,"['have', 'figure', 'represent', 'join', 'board', 'get', 'word']"
17/02/2018,180,P180,2,Remember drive himself huge education sometimes.,"['remember', 'drive', 'himself', 'huge', 'education', 'sometimes']"
13/05/2018,181,P181,5,Let purpose listen place.,"['let', 'purpose', 'listen', 'place']"
10/06/2018,182,P182,2,Husband read sound group black black compare.,"['husband', 'read', 'sound', 'group', 'black', 'black', 'compare']"
25/01/2018,183,P183,3,Technology game above be.,"['technology', 'game', 'above', 'be']"
24/05/2018,184,P184,3,These radio many prove bad.,"['these', 'radio', 'many', 'prove', 'bad']"
12/04/2018,185,P185,4,Outside executive around make but.,"['outside', 'executive', 'around', 'make', 'but']"
06/03/2018,186,P186,3,Including either go soldier form amount.,"['including', 'either', 'go', 'soldier', 'form', 'amount']"
07/02/2018,187,P187,5,Really church term indeed ahead wind Mrs.,"['really', 'church', 'term', 'indeed', 'ahead', 'wind', 'mrs']"
08/03/2018,188,P188,4,Mind determine mother trouble fill.,"['mind', 'determine', 'mother', 'trouble', 'fill']"
02/03/2018,189,P189,2,By at raise during church player even.,"['by', 'at', 'raise', 'during', 'church', 'player', 'even']"
23/07/2018,190,P190,2,Develop finish station.,"['develop', 'finish', 'station']"
30/01/2018,191,P191,4,Husband from third agree record party.,"['husband', 'from', 'third', 'agree', 'record', 'party']"
07/02/2018,192,P192,3,City someone meeting old.,"['city', 'someone', 'meeting', 'old']"
14/08/2018,193,P193,2,Enjoy road hold machine.,"['enjoy', 'road', 'hold', 'machine']"
07/07/2018,194,P194,2,However industry from serve.,"['however', 'industry', 'from', 'serve']"
,195,P195,2,Pass soldier technology especially road.,"['pass', 'soldier', 'technology', 'especially', 'road']"
03/07/2018,196,P196,4,Increase eat set suffer staff eye sea best.,"['increase', 'eat', 'set', 'suffer', 'staff', 'eye', 'sea', 'best']"
21/03/2018,197,P197,3,Detail middle ask my.,"['detail', 'middle', 'ask', 'my']"
07/03/2018,198,P198,1,Home answer order today he itself top.,"['home', 'answer', 'order', 'today', 'he', 'itself', 'top']"
09/01/2018,199,P199,4,During PM culture.,"['during', 'pm', 'culture']"
01/07/2018,200,P200,3,Method total measure reason modern figure.,"['method', 'total', 'measure', 'reason', 'modern', 'figure']"
16/02/2018,201,P201,1,Think offer hold skin week may.,"['think', 'offer', 'hold', 'skin', 'week', 'may']"
14/04/2018,202,P202,1,Issue because crime professor area front.,"['issue', 'because', 'crime', 'professor', 'area', 'front']"
03/08/2018,203,P203,1,Environmental close population traditional method dinner strategy.,"['environmental', 'close', 'population', 'traditional', 'method', 'dinner', 'strategy']"
08/04/2018,204,P204,2,Customer heavy purpose whose market idea.,"['customer', 'heavy', 'purpose', 'whose', 'market', 'idea']"
31/07/2018,205,P205,4,Success resource idea defense.,"['success', 'resource', 'idea', 'defense']"
01/07/2018,206,P206,2,Prepare treat seven page when.,"['prepare', 'treat', 'seven', 'page', 'when']"
12/06/2018,207,P207,2,Quite court admit course score.,"['quite', 'court', 'admit', 'course', 'score']"
08/02/2018,208,P208,2,Man former suddenly live turn high road.,"['man', 'former', 'suddenly', 'live', 'turn', 'high', 'road']"
02/02/2018,209,P209,2,Box personal foot firm public.,"['box', 'personal', 'foot', 'firm', 'public']"
15/07/2018,210,P210,2,Challenge body painting enough.,"['challenge', 'body', 'painting', 'enough']"
15/07/2018,211,P211,5,Top inside as easy pay but likely.,"['top', 'inside', 'as', 'easy', 'pay', 'but', 'likely']"
10/06/2018,212,P212,4,Toward which within also executive skin.,"['toward', 'which', 'within', 'also', 'executive', 'skin']"
04/08/2018,213,P213,2,Young big manage.,"['young', 'big', 'manage']"
19/04/2018,214,P214,4,Result talk challenge choose camera herself station.,"['result', 'talk', 'challenge', 'choose', 'camera', 'herself', 'station']"
25/01/2018,215,P215,3,Sure game page daughter.,"['sure', 'game', 'page', 'daughter']"
24/03/2018,216,P216,1,Drug movie yes officer recognize agreement.,"['drug', 'movie', 'yes', 'officer', 'recognize', 'agreement']"
11/06/2018,217,P217,5,Western late accept still.,"['western', 'late', 'accept', 'still']"
31/05/2018,218,P218,1,Generation measure single resource have event might investment.,"['generation', 'measure', 'single', 'resource', 'have', 'event', 'might', 'investment']"
05/02/2018,219,P219,1,Table wrong suggest level.,"['table', 'wrong', 'suggest', 'level']"
09/05/2018,220,P220,5,Hair seek audience group.,"['hair', 'seek', 'audience', 'group']"
14/02/2018,221,P221,1,Little sign marriage until own.,"['little', 'sign', 'marriage', 'until', 'own']"
26/02/2018,222,P222,2,Perform approach consider it.,"['perform', 'approach', 'consider', 'it']"
15/02/2018,223,P223,4,Perform a cost similar science nature myself.,"['perform', 'a', 'cost', 'similar', 'science', 'nature', 'myself']"
08/04/2018,224,P224,5,Clear condition mother fall million either student per.,"['clear', 'condition', 'mother', 'fall', 'million', 'either', 'student', 'per']"
24/08/2018,225,P225,3,By movie subject magazine know evidence PM.,"['by', 'movie', 'subject', 'magazine', 'know', 'evidence', 'pm']"
25/01/2018,226,P226,5,Action human home political good campaign eat.,"['action', 'human', 'home', 'political', 'good', 'campaign', 'eat']"
22/03/2018,227,P227,4,Stand ok green song.,"['stand', 'ok', 'green', 'song']"
24/02/2018,228,P228,5,Book throw something situation then at beyond.,"['book', 'throw', 'something', 'situation', 'then', 'at', 'beyond']"
10/07/2018,229,P229,4,Question environmental carry option piece compare wonder if.,"['question', 'environmental', 'carry', 'option', 'piece', 'compare', 'wonder', 'if']"
30/07/2018,230,P230,2,Decade back current interest thank marriage.,"['decade', 'back', 'current', 'interest', 'thank', 'marriage']"
06/06/2018,231,P231,2,Finally together media final manage indicate like rule.,"['finally', 'together', 'media', 'final', 'manage', 'indicate', 'like', 'rule']"
02/04/2018,232,P232,3,Strategy difference past hot western.,"['strategy', 'difference', 'past', 'hot', 'western']"
18/04/2018,233,P233,1,Which accept expect toward focus rate.,"['which', 'accept', 'expect', 'toward', 'focus', 'rate']"
19/07/2018,234,P234,1,Part mean myself financial.,"['part', 'mean', 'myself', 'financial']"
12/05/2018,235,P235,2,Firm music out.,"['firm', 'music', 'out']"
19/07/2018,236,P236,5,Defense always he event mention matter.,"['defense', 'always', 'he', 'event', 'mention', 'matter']"
02/02/2018,237,P237,5,Although type staff wall.,"['although', 'type', 'staff', 'wall']"
12/07/2018,238,P238,3,Shoulder score own white matter.,"['shoulder', 'score', 'own', 'white', 'matter']"
26/06/2018,239,P239,1,Door relationship third same reveal.,"['door', 'relationship', 'third', 'same', 'reveal']"
20/01/2018,240,P240,1,Century seek plant strong which sister new.,"['century', 'seek', 'plant', 'strong', 'which', 'sister', 'new']"
13/03/2018,241,P241,4,Crime heart say no employee.,"['crime', 'heart', 'say', 'no', 'employee']"
08/06/2018,242,P242,1,Training anyone name radio half ground.,"['training', 'anyone', 'name', 'radio', 'half', 'ground']"
05/06/2018,243,P243,5,Ready student decision throw possible seek.,"['ready', 'student', 'decision', 'throw', 'possible', 'seek']"
13/07/2018,244,P244,4,Behind pressure great step again rather.,"['behind', 'pressure', 'great', 'step', 'again', 'rather']"
10/08/2018,245,P245,2,Meet much now which thousand.,"['meet', 'much', 'now', 'which', 'thousand']"
19/06/2018,246,P246,3,Morning these bring act generation herself later area.,"['morning', 'these', 'bring', 'act', 'generation', 'herself', 'later', 'area']"
09/05/2018,247,P247,3,After station thousand leave nature star recently.,"['after', 'station', 'thousand', 'leave', 'nature', 'star', 'recently']"
19/06/2018,248,P248,3,Station send glass through.,"['station', 'send', 'glass', 'through']"
10/05/2018,249,P249,4,Box production spend glass alone hot whose.,"['box', 'production', 'spend', 'glass', 'alone', 'hot', 'whose']"
19/01/2018,250,P250,3,Enter ever statement spring put might machine since.,"['enter', 'ever', 'statement', 'spring', 'put', 'might', 'machine', 'since']"
19/05/2018,251,P251,3,Fund director general president fire any.,"['fund', 'director', 'general', 'president', 'fire', 'any']"
17/07/2018,252,P252,3,Local leader early food over pattern challenge.,"['local', 'leader', 'early', 'food', 'over', 'pattern', 'challenge']"
08/02/2018,253,P253,4,Radio smile difficult capital.,"['radio', 'smile', 'difficult', 'capital']"
21/05/2018,254,P254,3,Charge finish six operation already ready process.,"['charge', 'finish', 'six', 'operation', 'already', 'ready', 'process']"
16/08/2018,255,P255,1,Continue third yet.,"['continue', 'third', 'yet']"
03/07/2018,256,P256,3,On smile fill population from yet.,"['on', 'smile', 'fill', 'population', 'from', 'yet']"
08/02/2018,257,P257,5,Reveal after value adult.,"['reveal', 'after', 'value', 'adult']"
09/03/2018,258,P258,4,Two ready camera.,"['two', 'ready', 'camera']"
15/03/2018,259,P259,3,Hot score source attorney between.,"['hot', 'score', 'source', 'attorney', 'between']"
04/06/2018,260,P260,2,Important start where necessary camera quite recognize.,"['important', 'start', 'where', 'necessary', 'camera', 'quite', 'recognize']"
